timestamp(ms),DataLoss,Millisekunden_pro_10000_Nachrichten,
"1705409369.62","0",,
"1705409369.622",,"2151",
"1705409371.77","0",,
"1705409371.772",,"2151",
"1705409373.92","0",,
"1705409373.922",,"2150",
"1705409376.071","0",,
"1705409376.073",,"2151",
"1705409378.221","0",,
"1705409378.224",,"2150",
"1705409380.371","0",,
"1705409380.374",,"2150",
"1705409382.522","0",,
"1705409382.524",,"2151",
"1705409384.673","0",,
"1705409384.675",,"2151",
"1705409386.823","0",,
"1705409386.826",,"2150",
"1705409388.973","0",,
"1705409388.976",,"2150",
"1705409391.125","0",,
"1705409391.127",,"2151",
"1705409393.275","0",,
"1705409393.277",,"2151",
"1705409395.425","0",,
"1705409395.427",,"2150",
"1705409397.575","0",,
"1705409397.578",,"2151",
"1705409399.726","0",,
"1705409399.728",,"2150",
"1705409401.876","0",,
"1705409401.878",,"2150",
"1705409404.026","0",,
"1705409404.029",,"2151",
"1705409406.177","0",,
"1705409406.18",,"2151",
"1705409408.328","0",,
"1705409408.33",,"2150",
"1705409410.48","0","2150",
"1705409412.628","0",,
"1705409412.631",,"2151",
"1705409414.779","0",,
"1705409414.781",,"2150",
"1705409416.929","0",,
"1705409416.931",,"2151",
"1705409419.08","0",,
"1705409419.082",,"2150",
"1705409421.23","0",,
"1705409421.232",,"2151",
"1705409423.38","0",,
"1705409423.382",,"2150",
"1705409425.531","0",,
"1705409425.533",,"2150",
"1705409427.682","0",,
"1705409427.684",,"2152",
"1705409429.832","0",,
"1705409429.834",,"2150",
"1705409431.982","0",,
"1705409431.984",,"2150",
"1705409434.133","0",,
"1705409434.135",,"2151",
"1705409436.284","0",,
"1705409436.286",,"2150",
"1705409438.434","0",,
"1705409438.436",,"2150",
"1705409440.584","0",,
"1705409440.587",,"2151",
"1705409442.735","0",,
"1705409442.737",,"2151",
"1705409444.885","0",,
"1705409444.887",,"2150",
"1705409447.035","0",,
"1705409447.038",,"2150",
"1705409449.187","0",,
"1705409449.189",,"2152",
"1705409451.337","0",,
"1705409451.339",,"2150",
"1705409453.487","0",,
"1705409453.489",,"2150",
"1705409455.638","0",,
"1705409455.64",,"2151",
"1705409457.788","0",,
"1705409457.79",,"2150",
"1705409459.938","0",,
"1705409459.941",,"2150",
"1705409462.089","0",,
"1705409462.091",,"2151",
"1705409464.239","0",,
"1705409464.242",,"2150",
"1705409466.389","0",,
"1705409466.391",,"2150",
"1705409468.539","0",,
"1705409468.541",,"2151",
"1705409470.69","0",,
"1705409470.692",,"2150",
"1705409472.84","0",,
"1705409472.842",,"2150",
"1705409474.99","0",,
"1705409474.992",,"2151",
"1705409477.141","0",,
"1705409477.143",,"2151",
"1705409479.291","0",,
"1705409479.294",,"2150",
"1705409481.441","0",,
"1705409481.443",,"2150",
"1705409483.592","0",,
"1705409483.594",,"2151",
"1705409485.743","0",,
"1705409485.745",,"2151",
"1705409487.893","0",,
"1705409487.895",,"2150",
"1705409490.044","0",,
"1705409490.045",,"2150",
"1705409492.194","0",,
"1705409492.196",,"2151",
"1705409494.344","0",,
"1705409494.347",,"2150",
"1705409496.495","0",,
"1705409496.497",,"2151",
"1705409498.645","0",,
"1705409498.647",,"2150",
"1705409500.796","0",,
"1705409500.798",,"2151",
"1705409502.946","0",,
"1705409502.948",,"2150",
"1705409505.097","0",,
"1705409505.099",,"2151",
"1705409507.247","0",,
"1705409507.249",,"2150",
"1705409509.397","0",,
"1705409509.399",,"2150",
"1705409511.547","0",,
"1705409511.549",,"2150",
"1705409513.698","0",,
"1705409513.7",,"2152",
"1705409515.849","0",,
"1705409515.851",,"2150",
"1705409517.999","0",,
"1705409518.001",,"2150",
"1705409520.149","0",,
"1705409520.152",,"2151",
"1705409522.3","0",,
"1705409522.302",,"2150",
"1705409524.451","0",,
"1705409524.452",,"2150",
"1705409526.601","0",,
"1705409526.603",,"2151",
"1705409528.751","0",,
"1705409528.754",,"2151",
"1705409530.922","0",,
"1705409530.923",,"2150",
"1705409533.051","0",,
"1705409533.054",,"2150",
"1705409535.203","0",,
"1705409535.205",,"2151",
"1705409537.353","0",,
"1705409537.355",,"2151",
"1705409539.503","0",,
"1705409539.505",,"2150",
"1705409541.654","0",,
"1705409541.656",,"2150",
"1705409543.804","0",,
"1705409543.806",,"2151",
"1705409545.954","0",,
"1705409545.956",,"2150",
"1705409548.107","0",,
"1705409548.108",,"2151",
"1705409550.256","0",,
"1705409550.258",,"2150",
"1705409552.405","0",,
"1705409552.408",,"2150",
"1705409554.565","0","2150",
"1705409556.721","0",,
"1705409556.722",,"2151",
"1705409558.856","0",,
"1705409558.859",,"2151",
"1705409561.007","0",,
"1705409561.009",,"2150",
"1705409563.157","0",,
"1705409563.16",,"2151",
"1705409565.309","0",,
"1705409565.31",,"2150",
"1705409567.458","0",,
"1705409567.462",,"2150",
"1705409569.608","0",,
"1705409569.611",,"2151",
"1705409571.759","0",,
"1705409571.761",,"2150",
"1705409573.909","0",,
"1705409573.911",,"2150",
"1705409576.059","0",,
"1705409576.062",,"2151",
"1705409578.21","0",,
"1705409578.213",,"2151",
"1705409580.36","0",,
"1705409580.363",,"2150",
"1705409582.517","0",,
"1705409582.518",,"2150",
"1705409584.661","0",,
"1705409584.664",,"2151",
"1705409586.812","0",,
"1705409586.814",,"2150",
"1705409588.962","0",,
"1705409588.964",,"2150",
"1705409591.112","0",,
"1705409591.114",,"2151",
"1705409593.263","0",,
"1705409593.265",,"2150",
"1705409595.413","0",,
"1705409595.415",,"2150",
"1705409597.571","0",,
"1705409597.574",,"2151",
"1705409599.714","0",,
"1705409599.716",,"2151",
"1705409601.864","0",,
"1705409601.867",,"2150",
"1705409604.014","0",,
"1705409604.017",,"2150",
"1705409606.166","0",,
"1705409606.168",,"2151",
"1705409608.316","0",,
"1705409608.318",,"2151",
"1705409610.466","0",,
"1705409610.468",,"2150",
"1705409612.616","0",,
"1705409612.619",,"2150",
"1705409614.767","0",,
"1705409614.769",,"2151",
"1705409616.917","0",,
"1705409616.919",,"2150",
"1705409619.068","0",,
"1705409619.07",,"2151",
"1705409621.218","0",,
"1705409621.221",,"2151",
"1705409623.369","0",,
"1705409623.372",,"2150",
"1705409625.519","0",,
"1705409625.521",,"2150",
"1705409627.67","0",,
"1705409627.672",,"2151",
"1705409629.82","0",,
"1705409629.823",,"2151",
"1705409631.97","0",,
"1705409631.972",,"2149",
"1705409634.12","0",,
"1705409634.123",,"2151",
"1705409636.271","0",,
"1705409636.274",,"2151",
"1705409638.422","0",,
"1705409638.424",,"2150",
"1705409640.572","0",,
"1705409640.574",,"2150",
"1705409642.723","0",,
"1705409642.725",,"2151",
"1705409644.873","0",,
"1705409644.875",,"2151",
"1705409647.023","0",,
"1705409647.025",,"2150",
"1705409649.174","0",,
"1705409649.176",,"2151",
"1705409651.328","0",,
"1705409651.329",,"2150",
"1705409653.476","0",,
"1705409653.477",,"2150",
"1705409655.625","0",,
"1705409655.627",,"2151",
"1705409657.776","0",,
"1705409657.778",,"2151",
"1705409659.926","0",,
"1705409659.928",,"2150",
"1705409662.077","0",,
"1705409662.079",,"2151",
"1705409664.228","0",,
"1705409664.23",,"2151",
"1705409666.378","0",,
"1705409666.38",,"2150",
"1705409668.528","0",,
"1705409668.53",,"2150",
"1705409670.678","0",,
"1705409670.681",,"2151",
"1705409672.829","0",,
"1705409672.831",,"2150",
"1705409674.979","0",,
"1705409674.981",,"2150",
"1705409677.129","0",,
"1705409677.132",,"2151",
"1705409679.28","0",,
"1705409679.283",,"2151",
"1705409681.43","0",,
"1705409681.433",,"2150",
"1705409683.581","0",,
"1705409683.583",,"2150",
"1705409685.734","0",,
"1705409685.735",,"2151",
"1705409687.882","0",,
"1705409687.885",,"2151",
"1705409690.032","0",,
"1705409690.035",,"2150",
"1705409692.183","0",,
"1705409692.185",,"2151",
"1705409694.333","0",,
"1705409694.336",,"2150",
"1705409696.483","0",,
"1705409696.486",,"2150",
"1705409698.634","0",,
"1705409698.636",,"2151",
"1705409700.785","0",,
"1705409700.787",,"2151",
"1705409702.935","0",,
"1705409702.937",,"2150",
"1705409705.085","0",,
"1705409705.087",,"2150",
"1705409707.236","0",,
"1705409707.238",,"2151",
"1705409709.387","0",,
"1705409709.389",,"2151",
"1705409711.537","0",,
"1705409711.539",,"2150",
"1705409713.687","0",,
"1705409713.69",,"2151",
"1705409715.838","0",,
"1705409715.84",,"2150",
"1705409717.988","0",,
"1705409717.99",,"2150",
"1705409720.138","0",,
"1705409720.14",,"2151",
"1705409722.289","0",,
"1705409722.291",,"2151",
"1705409724.439","0",,
"1705409724.441",,"2150",
"1705409726.589","0",,
"1705409726.592",,"2150",
"1705409728.741","0",,
"1705409728.743",,"2151",
"1705409730.891","0",,
"1705409730.893",,"2151",
"1705409733.041","0",,
"1705409733.043",,"2150",
"1705409735.192","0",,
"1705409735.194",,"2151",
"1705409737.342","0",,
"1705409737.345",,"2150",
"1705409739.493","0",,
"1705409739.495",,"2150",
"1705409741.643","0",,
"1705409741.645",,"2151",
"1705409743.794","0",,
"1705409743.796",,"2151",
"1705409745.944","0",,
"1705409745.946",,"2150",
"1705409748.094","0",,
"1705409748.097",,"2150",
"1705409750.246","0",,
"1705409750.248",,"2152",
"1705409752.396","0",,
"1705409752.398",,"2150",
"1705409754.546","0",,
"1705409754.549",,"2150",
"1705409756.697","0",,
"1705409756.699",,"2151",
"1705409758.847","0",,
"1705409758.85",,"2150",
"1705409760.998","0",,
"1705409761",,"2150",
"1705409763.148","0",,
"1705409763.15",,"2151",
"1705409765.299","0",,
"1705409765.302",,"2151",
"1705409767.451","0",,
"1705409767.457",,"2150",
"1705409769.599","0",,
"1705409769.602",,"2150",
"1705409771.75","0",,
"1705409771.752",,"2151",
"1705409773.9","0",,
"1705409773.903",,"2150",
"1705409776.051","0",,
"1705409776.053",,"2151",
"1705409778.201","0",,
"1705409778.203",,"2150",
"1705409780.352","0",,
"1705409780.354",,"2151",
"1705409782.502","0",,
"1705409782.504",,"2149",
"1705409784.652","0",,
"1705409784.654",,"2151",
"1705409786.808","0",,
"1705409786.809",,"2151",
"1705409788.953","0",,
"1705409788.956",,"2151",
"1705409791.103","0",,
"1705409791.105",,"2150",
"1705409793.254","0",,
"1705409793.256",,"2151",
"1705409795.405","0",,
"1705409795.407",,"2150",
"1705409797.555","0",,
"1705409797.557",,"2150",
"1705409799.705","0",,
"1705409799.708",,"2151",
"1705409801.856","0",,
"1705409801.858",,"2150",
"1705409804.015","0","2150",
"1705409806.156","0",,
"1705409806.158",,"2151",
"1705409808.307","0",,
"1705409808.31",,"2151",
"1705409810.458","0",,
"1705409810.46",,"2150",
"1705409812.608","0",,
"1705409812.61",,"2150",
"1705409814.758","0",,
"1705409814.761",,"2151",
"1705409816.913","0",,
"1705409816.914",,"2151",
"1705409819.059","0",,
"1705409819.061",,"2150",
"1705409821.21","0",,
"1705409821.212",,"2151",
"1705409823.36","0",,
"1705409823.363",,"2150",
"1705409825.51","0",,
"1705409825.512",,"2150",
"1705409827.661","0",,
"1705409827.663",,"2151",
"1705409829.812","0",,
"1705409829.814",,"2151",
"1705409831.963","0",,
"1705409831.965",,"2151",
"1705409834.112","0",,
"1705409834.115",,"2150",
"1705409836.263","0",,
"1705409836.266",,"2151",
"1705409838.414","0",,
"1705409838.416",,"2150",
"1705409840.564","0",,
"1705409840.566",,"2150",
"1705409842.714","0",,
"1705409842.717",,"2151",
"1705409844.865","0",,
"1705409844.867",,"2150",
"1705409847.015","0",,
"1705409847.017",,"2150",
"1705409849.165","0",,
"1705409849.167",,"2151",
"1705409851.317","0",,
"1705409851.319",,"2151",
"1705409853.483","0",,
"1705409853.484",,"2150",
"1705409855.62","0",,
"1705409855.621",,"2150",
"1705409857.768","0",,
"1705409857.77",,"2151",
"1705409859.918","0",,
"1705409859.92",,"2151",
"1705409862.068","0",,
"1705409862.07",,"2150",
"1705409864.219","0",,
"1705409864.221",,"2151",
"1705409866.37","0",,
"1705409866.372",,"2150",
"1705409868.52","0",,
"1705409868.522",,"2150",
"1705409870.67","0",,
"1705409870.672",,"2151",
"1705409872.821","0",,
"1705409872.823",,"2151",
"1705409874.971","0",,
"1705409874.973",,"2150",
"1705409877.121","0",,
"1705409877.124",,"2150",
"1705409879.272","0",,
"1705409879.274",,"2151",
"1705409881.423","0",,
"1705409881.425",,"2151",
"1705409883.572","0",,
"1705409883.575",,"2150",
"1705409885.723","0",,
"1705409885.726",,"2150",
"1705409887.874","0",,
"1705409887.876",,"2151",
"1705409890.024","0",,
"1705409890.026",,"2150",
"1705409892.174","0",,
"1705409892.176",,"2150",
"1705409894.325","0",,
"1705409894.327",,"2152",
"1705409896.491","0",,
"1705409896.493",,"2150",
"1705409898.626","0",,
"1705409898.628",,"2150",
"1705409900.776","0",,
"1705409900.778",,"2151",
"1705409902.927","0",,
"1705409902.929",,"2150",
"1705409905.077","0",,
"1705409905.079",,"2150",
"1705409907.228","0",,
"1705409907.23",,"2151",
"1705409909.379","0",,
"1705409909.381",,"2151",
"1705409911.529","0",,
"1705409911.531",,"2150",
"1705409913.679","0",,
"1705409913.681",,"2151",
"1705409915.83","0",,
"1705409915.832",,"2151",
"1705409917.98","0",,
"1705409917.983",,"2150",
"1705409920.131","0",,
"1705409920.133",,"2150",
"1705409922.281","0",,
"1705409922.283",,"2151",
"1705409924.432","0",,
"1705409924.434",,"2151",
"1705409926.582","0",,
"1705409926.584",,"2150",
"1705409928.733","0",,
"1705409928.743",,"2150",
"1705409930.883","0",,
"1705409930.886",,"2151",
"1705409933.033","0",,
"1705409933.036",,"2150",
"1705409935.183","0",,
"1705409935.186",,"2150",
"1705409937.335","0",,
"1705409937.337",,"2152",
"1705409939.485","0",,
"1705409939.487",,"2150",
"1705409941.646","0",,
"1705409941.647",,"2150",
"1705409943.786","0",,
"1705409943.788",,"2151",
"1705409945.936","0",,
"1705409945.938",,"2150",
"1705409948.086","0",,
"1705409948.088",,"2150",
"1705409950.237","0",,
"1705409950.239",,"2151",
"1705409952.388","0",,
"1705409952.39",,"2151",
"1705409954.538","0",,
"1705409954.54",,"2150",
"1705409956.688","0",,
"1705409956.69",,"2150",
"1705409958.839","0",,
"1705409958.842",,"2152",
"1705409960.99","0",,
"1705409960.992",,"2150",
"1705409963.14","0",,
"1705409963.142",,"2150",
"1705409965.291","0",,
"1705409965.293",,"2151",
"1705409967.441","0",,
"1705409967.443",,"2151",
"1705409969.591","0",,
"1705409969.593",,"2149",
"1705409971.742","0",,
"1705409971.744",,"2151",
"1705409973.892","0",,
"1705409973.895",,"2151",
"1705409976.042","0",,
"1705409976.113",,"2150",
"1705409978.193","0",,
"1705409978.195",,"2151",
"1705409980.344","0",,
"1705409980.346",,"2151",
"1705409982.494","0",,
"1705409982.496",,"2150",
"1705409984.644","0",,
"1705409984.646",,"2150",
"1705409986.795","0",,
"1705409986.797",,"2151",
"1705409988.946","0",,
"1705409988.948",,"2151",
"1705409991.095","0",,
"1705409991.098",,"2149",
"1705409993.246","0",,
"1705409993.248",,"2151",
"1705409995.397","0",,
"1705409995.399",,"2151",
"1705409997.547","0",,
"1705409997.549",,"2150",
"1705409999.697","0",,
"1705409999.699",,"2150",
"1705410001.848","0",,
"1705410001.85",,"2151",
"1705410004","0",,
"1705410004.001",,"2151",
"1705410006.148","0",,
"1705410006.15",,"2150",
"1705410008.299","0",,
